id,name,lat,lon
370,370,-33.496368956752356,-70.53059338475538
371,371,-33.50193877130674,-70.52491477287202
379,379,-33.507507625996865,-70.51923614481295
384,384,-33.506709320269515,-70.55328607530221
385,385,-33.51227955236429,-70.54760678438903
386,386,-33.50829821176605,-70.56274473785685
387,387,-33.513868903032375,-70.55706522657711
388,388,-33.499549050063955,-70.54950724704493
389,389,-33.50511978287666,-70.5438281933407
390,390,-33.50113812830021,-70.5589653494783
391,391,-33.51625836884913,-70.53247003639413
393,393,-33.51784882454507,-70.54192747685032
395,395,-33.509098913620264,-70.52869224308846
397,397,-33.510689555818175,-70.53814912308663
398,398,-33.476473834638455,-70.52871705944871
400,400,-33.47806411700046,-70.53817270029357
401,401,-33.48363635179904,-70.53249435839366
402,402,-33.46931063111257,-70.52494008350811
404,404,-33.47090109923413,-70.53439516402139
407,407,-33.48761642630942,-70.51736080167234
408,408,-33.49318628249696,-70.5116826486916
412,412,-33.486815899345096,-70.55140754167667
413,413,-33.49238809263655,-70.54572874179676
414,414,-33.488404704983125,-70.56086530435759
415,415,-33.49397735741957,-70.55518628408772
416,416,-33.47965375429789,-70.5476291222366
417,417,-33.48522644820836,-70.54195055954918
418,418,-33.48124274630457,-70.5570863248593
458,458,-33.50748797984009,-70.59680555802632
459,459,-33.51306100861741,-70.59112540488897
460,460,-33.50907382624441,-70.6062675577698
461,461,-33.514647314268785,-70.6005871856242
462,462,-33.500327957225174,-70.59302425333152
463,463,-33.50590148661774,-70.58734433690576
464,464,-33.50191399121546,-70.6024856935659
465,465,-33.517045665830004,-70.57598445193453
466,466,-33.522616315570225,-70.57030448361216
467,467,-33.51863307750751,-70.5854452342654
468,468,-33.524204186470655,-70.57976504626717
469,469,-33.5098864571402,-70.57220418058574
470,470,-33.51545760759629,-70.56652444923198
471,471,-33.51147405616595,-70.5816644030696
473,473,-33.52339143094461,-70.61383225483101
474,474,-33.5194023481655,-70.62897719712446
475,475,-33.52497625413952,-70.62329615147702
476,476,-33.510659025605,-70.61573033571607
477,477,-33.51623297289433,-70.61004974485536
478,478,-33.51224357769629,-70.62519389144492
479,479,-33.52737798775383,-70.59868850966235
480,480,-33.53294905524438,-70.59300786555328
481,481,-33.528963917684955,-70.60815140956285
482,482,-33.53453544444959,-70.60247054646939
483,483,-33.52021984240296,-70.59490679580503
484,484,-33.52579141060714,-70.58922638842381
485,485,-33.52180596029056,-70.60436913613357
486,486,-33.48759225690343,-70.59492293376962
487,487,-33.49316724664475,-70.58924327153142
488,488,-33.48917801906688,-70.60438403350554
489,489,-33.494753468028186,-70.59870415223531
490,490,-33.480430358062186,-70.59114203816038
491,491,-33.48600584831972,-70.58546261261749
492,492,-33.482016307440844,-70.60060257845008
493,493,-33.49715394963959,-70.57410370953193
494,494,-33.5027265606219,-70.56842423221231
495,495,-33.498741276624614,-70.58356359184698
496,496,-33.50431434680306,-70.57788389482793
497,497,-33.48999286489637,-70.57032384717311
499,499,-33.49158037885888,-70.57978316970413
500,500,-33.49792397068503,-70.61762824859377
501,501,-33.50349937836981,-70.61194791213018
502,502,-33.49950825150729,-70.62709146340801
503,503,-33.5050841184626,-70.62141090860415
504,504,-33.49076313458434,-70.61384591140538
505,505,-33.49633904278349,-70.60816581139612
506,506,-33.49234760323034,-70.62330856704901
507,507,-33.54647902226395,-70.55704412275934
509,509,-33.548068083332595,-70.56650458551039
510,510,-33.553634851294525,-70.56082409199284
511,511,-33.539322504853466,-70.55326447663685
512,512,-33.544889314504566,-70.54758444068092
513,513,-33.540911753403165,-70.56272437914038
514,514,-33.556020053407806,-70.53622431899218
515,515,-33.56158398258242,-70.53054423348254
516,516,-33.55761067957601,-70.54568355965856
517,517,-33.56317506794961,-70.540003253162
521,521,-33.55681195095977,-70.57974691807453
522,522,-33.56237867725358,-70.57406596752867
523,523,-33.558399529879644,-70.58920950088584
524,524,-33.563966715449936,-70.58352833071139
525,525,-33.549656497484385,-70.57596582851485
526,526,-33.555223724689405,-70.57028511497035
527,527,-33.55124426449329,-70.58542785135316
528,528,-33.56635529855251,-70.55892363675336
529,529,-33.571919645132894,-70.55324287230414
530,530,-33.56794444333569,-70.56838499982716
531,531,-33.573509249167316,-70.56270401508166
532,532,-33.559200659090514,-70.55514358158284
533,533,-33.56476550668174,-70.54946305439192
534,534,-33.56078999172509,-70.56460438434596
535,535,-33.5265970287072,-70.555164935636
536,536,-33.53216529928323,-70.5494851536169
537,537,-33.528186005347116,-70.56462449821406
538,538,-33.53375473512129,-70.55894449585179
539,539,-33.51943863438136,-70.55138569848461
541,541,-33.521027798131776,-70.56084470087822
548,548,-33.530575217169925,-70.54002659230751
549,549,-33.53693166706697,-70.57786552142164
550,550,-33.54250035524371,-70.57218506202386
551,551,-33.53851916272261,-70.58732720391794
552,552,-33.54408831014904,-70.5816465248679
553,553,-33.529774335467266,-70.5740848410059
554,554,-33.535343524457865,-70.56840461859308
555,555,-33.531362018841655,-70.58354596359214
570,570,-33.45657300491193,-70.52684106039297
571,571,-33.46214674144283,-70.52116343056326
572,572,-33.45816319953261,-70.53629580165662
573,573,-33.46373739513077,-70.53061795072406
574,574,-33.44940792879921,-70.52306449301953
575,575,-33.45498216585084,-70.51738710060559
576,576,-33.4509983088079,-70.53251867401487
583,583,-33.46055544333273,-70.51170969217075
590,590,-33.420740769847264,-70.50796145293
598,598,-33.43666646998416,-70.52496538750714
599,599,-33.44224216701442,-70.51928824859517
600,600,-33.43825657614669,-70.53441922933919
601,601,-33.44383273221779,-70.52874186930124
602,602,-33.42949952232902,-70.52118922862398
604,604,-33.43108981350771,-70.53064251025093
654,654,-33.45735338199595,-70.57034320565519
655,655,-33.46292991449034,-70.56466471012315
656,656,-33.458940537451056,-70.57980128838732
657,657,-33.464517529087885,-70.57412257310867
658,658,-33.450188548265814,-70.56656416104562
659,659,-33.455765581178134,-70.56088590243309
660,660,-33.451775889956075,-70.57602168411964
661,661,-33.46691676833498,-70.54952933467827
662,662,-33.47249092249915,-70.54385102575891
663,663,-33.46850548739889,-70.55898619763508
664,664,-33.47408010068143,-70.5533076683024
665,665,-33.459752749486675,-70.54575132397845
666,666,-33.465327404170246,-70.54007325223513
667,667,-33.461341654547944,-70.55520762694015
668,668,-33.46769082134495,-70.59304063681088
669,669,-33.47326777172553,-70.58736146539923
